å gå	to go
Jeg har feber.	I've got a temperature.
Jeg er kvalm.	I am nauseous.
Jeg har vondt i ...	My ... hurts.
Jeg har vondt i halsen.	I've got a sore throat.
Jeg har vondt i magen.	I've got a stomachache.
Jeg har vondt i hodet.	I've got a headache.
Jeg har hodepine.	I've got a headache (...pine).
Jeg har tannpine.	I've got a toothache.
et album	an album
et barn	a child
en barnehage	a kindergarten
besteforeldre	grandparents
ei bestemor	a grandmother
både - og	both - and
ei datter	a daughter
deres	your (plural), yours, their, theirs
din	your, yours (singular)
et enebarn	an only child
et essay	an essay
en farfar	a (paternal) grandfather
ei farmor	a (paternal) grandmother
en forelder	a parent
foreldre	parents
fort	fast
ga	gave, offered
å gi	to give
å gifte seg	to get married, to marry
en grammatikk	a grammar
ei gruppe	a group
hans	his
hennes	hers
en ingeniør	an engineer
et IT-firma	an IT-firm
Kina	China
kjempesøt	very cute, very sweet
ei kone	a wife
en kontakt	a contact
ei lekse	a lesson, homework
lenge	long
en lillebror	a little/baby brother
mi	my, mine (f.)
min	my, mine (m.)
mine	my, mine (pl.)
en morfar	a (maternal) grandfather
ei mormor	a (maternal) grandmother
muntlig	verbal, oral
en nevø	a nephew
ei oldemor	a great grandmother
en onkel	an uncle
onkler	uncles
et ord	a word
en pensjonist	a pensioner
siden	ago
en slutt	an ending
som	who, which, that, what
en stefar	a stepfather
en sønn	a son
et søskenbarn	a cousin
så	so, then
ei tante	an aunt
et tema	a subject, topic, theme
til slutt	finally, in the end, eventually
en time	a lesson, class, session, also: hour
ei trening	a training session, practice session, exercise
en appelsin	an orange
bedre	better
bekymret	worried, anxious
en beskjed	a message
å blåse	to blow, be windy
borte	away, off, over
et bål	a fire
drikke	a drink (uncount. noun)
dårlig	bad, unwell, ill
elektrisitet	electricity (uncount. noun)
enkel	simple, easy
enn	than
finere	finer, nicer
å fryse	to be cold, freeze
å fyre	to kindle a fire, keep a fire going
gir	give(s), offer(s) (present)
å grille	to grill
en gryterett	a casserole
ei helg	a weekend
et hotell	a hotel
huff	exclamation: Oh! Ugh!
hyggeligere	nicer, kinder(comp. adj.)
ei hytte	a cabin
en hyttetur	a trip to a cottage
en høst	an autumn
i alle fall	at any rate
inni	inside, in
kakao	cocoa (uncount. noun)
kaldere	colder
kaldt	cold (n.)
en kjeks	a cracker, cookie
ei klasseliste	a class list
en kveld	an evening, night
makaroni	macaroni (uncount. noun)
mens	while
en minusgrad	one degree below zero, minus-degree
mørk	dark
nok	enough
oktober	October
en ovn	an oven
ei pølse	a sausage
regn	rain (uncount. noun)
å regne	to rain
å ringe	to ring, call
ris	rice (uncount. noun)
sagt (å si)	has said
en sekk	a sack
sjelden	seldom
å smake	to taste
å smile	to smile
å snø	to snow
snø	snow (uncount. noun)
en stund	a moment, while
syk	ill
å tenne	to light, kindle
typisk	typical
vant til	used to
å varme	to warm
en varmegrad	one degree above zero
varmere	warmer
en vinter	a winter
virkelig	really, indeed
vær	weather (uncount. noun)
akkurat	exactly, precisely
alene	alone
alvorlig	serious
en bedring	a recovery
elendig	miserable
ensom	lonely
en fastlege	a family doctor
en feber	a fever
febernedsettende	febrifugal, antipyretic
en fest	a party, fiest
å flytte	to move
for mye	too much
frisk	well, healthy, sound
å føle	to feel
et gulv	a floor
en hals	a throat, neck
en halstablett	a lozenge, throat pastille
hit	here
en influensa	an influenza, flu
å kaste opp	to throw up, vomit
en klem	a hug
kvalm	queasy
en lege	a doctor, GP
en legevakt	a casualty clinic
en legevaktsentral	telephone central for emergency clinic
å legge seg	to go to bed, lie down
å løpe	to run
en medisin	a medicine
nok	probably, I gather
en pakke	a package
en resept	a prescription
sin	his, hers, its, their own (m./f.)
sine	his, hers, its, their own (pl.)
sitt	his, hers, its, their own (n.)
smertestillende	painkilling
smittsom	infectious
en SMS	an SMS
å snakkes	to talk (to each other)
å søke om	to apply for
en tablett	a tablet
en tekstmelding	a text message
et telefonnummer	a phone number
et termometer	a thermometer
trist	sad
vond	painful, sore
vondt i halsen	a sore throat
å våkne	to wake up
alt (all)	all, everything (n.)
et bord	a table
en bygning	a building (verb?)
dessverre	unfortunately
ennå	yet, still
en etasje	a storey, floor
et etternavn	a surname
å forstå	to understand
å fylle ut	to fill in
en fødselsdato	a date of birth
første	first (adj.)
greit	all right
å hente	to fetch, pick up
en hybel	a bed-sitter, lodgings
ei inventarliste	a list of furniture, inventory
en kontrakt	a contract
ei liste	a list
lykke til!	good luck!
et mobilnummer	a cell phone number
en mobiltelefon	a cellular phone
et møbel	a piece of furniture
nr.	no.
en nøkkel	a key
et pass	a passport
en resepsjonist	a receptionist
et rom	a room
ei seng	a bed
et skjema	a form
å skrive	to write
å skrive under	to sign
å stave	to spell
en stol	a chair
et tall	a figure, number
ei trapp	a staircase, stairs
ut	out (movement)
ute	out, outside (stat.)
et utstyr	an equipment
en bursdag	a birthday
en del	a part
egentlig	really / strictly speaking
ekstra	extra, additional
ferdig	finished, ready, also slang; exhausted
forhånd	beforehand
et hovedpunkt	a main point
jo	yes (after negation)
ei kantine	a canteen
kjemisk	chemical
en ph.d.-student	a Ph.D. student, doctoral research fellow
en presentasjon	a presentation
et problem	a problem
et prosjekt	a project
på forhånd	in advance
samme	same
sann	true (masc/fem)
sant	true (n.)
sanne	true (flertall/bestempt entall)
et seminar	a seminar
stresset	stressed
uhøflig	impolite, rude
å utsette	to postpone
en veileder	a supervisor, guide
vennlig	friendly, kind
ei bløtkake	a layer cake
én	one
en korrektur	a proof, correction
et vedlegg	an attachment
et brukernavn	a username
bærbar	portable
en bærbar PC	a laptop
en colaboks	a can of Coke
ditt	your, yours (n.)
dyp	deep
en gang til	once more, one more time
å fikse	to fix, mend, organise
en flybillett	an airline ticket
å gjelde	to be valid, to concern
gratis	free (of charge), gratis
hele	whole (definite form)
et hotellrom	a hotel room
å huske på	to reflect on
høy	loud, high, tall
høyt	loud, high, tall (n.)
i går kveld	yesterday evening, last night
et innlegg	a post or submission
Internett	Internet
internettilgang	Internet access
ja da	"Sure", "Not to worry"
lenge siden	long ago
en mastergradsstudent	a master student
en minibar	a mini-bar
ei natt	a night
nei da	Oh no
nervøs	nervous
nesten	almost, nearly
en nyhet	a piece of news
å oppleve	to experience, enjoy
å ordne	to fix, organize
et passord	a password
en PC	a PC
å presentere	to present, introduce
pust	a breath (uncount. noun)
en reisebekreftelse	confirmation of travel reservation
en respons	response
sa	said
å sjekke inn	to check in
skulle	would/should
å skynde seg	to hurry (up)
tydelig	clear, explicit
å anbefale	to recommend
berømt	famous
å besøke	to visit
å dele ut	to distribute, award, deal (cards)
desember	December
en dronning	a queen
eldste	oldest, eldest (definite form)
en ende	an end
ene	one (definite form)
fantastisk	fantastic
en festning	a fortress
en fredag	a friday
en fredspris	a peace prize
fri	free
å gå på tur	to go for a hike
ei hovedgate	a main street
en hovedstad	a capital
en høstferie	an autumn vacation
kjent	well-known, famous
å male	to paint
en maler	a painter
man	one, you (impersonal form)
museer	museums
et museum	a museum
en nasjonalforsamling	a national assembly
en park	a park
et parlament	a parliament
en rest	a remainder, remnant, rest
riktig	correct, right
et rådhus	a city hall
shopping	shopping (uncount. noun)
sikkert	here: probably. Also: certainly
et skrik	a scream
et slott	a castle, palace
en søndag	a Sunday
et teater	a theatre
en utsikt	a view
en utstilling	an exhibition
et vikingskip	a Viking ship
Østlandet	Eastern Norway
alt mulig	everything
annet	other (n.)
å bake	to bake
burde	should/ought to (past tense)
en dessert	a dessert
å feire	to celebrate
et flagg	a flag
flest	most (countable)
en gave	a gift, present
glitter	tinsel (uncount. noun)
en grøt	a porridge
en gudstjeneste	a church service
hvit	white
i gamle dager	in the old days
å insistere	to insist
ei jul	a Christmas
en julaften (en julekveld)	a Christmas Eve
et julebord	a Christmas dinner, Christmas party
en julegave	a Christmas gift
ei julekule	a Christmas ball
en julemiddag	a Christmas dinner
en julestemning	a Christmas spirit
en juletradisjon	a Christmas tradition
et juletre	a Christmas tree
å kjenne	to feel, know
å kjenne igjen	to recognize
en kollega	a colleague
lagd	made (past tense)
en laks	a salmon
å lure	to wonder
lutefisk	«lie fish» (lut = lie/sodium hydroxide)
mer	more (uncountable)
merkelig	strange, odd (m...)
midnatt	midnight
midt i	in the middle of
mulig	possible
pinnekjøtt	mutton ribs (uncount. noun)
plutselig	suddenly
å prate	to talk/chat (informal)
en prest	a vicar, clergyman
pyntet	decorated
en rett	a dish
ei ribbe	a rib (pork ribs)
riskrem	creamed rice pudding (uncount. noun)
en sang	a song
en saus	a sauce, gravy
seg selv	oneself
selv	self
sju	seven
en småkake	a cookie
en sort	a sort, kind
en stemning	an atmosphere, mood
ei svineribbe	a breast of pork, ribs
en telefonsamtale	a telephone conversation
å telle	to count
en torsk	a cod
et tre	a tree
vanlig	usual, customary
verken - eller	neither - nor
å åpne	to open
en banan	a banana
billig	inexpensive, cheap
ei bolle	a bun
ei brødhylle	a bread rack
denne	this (masc/fem, near)
dette	this (neuter, near)
disse	these (pl., near)
dyr	expensive
et eple	an apple
forresten	by the way
et frimerke	a stamp
en fruktdisk	a fruit counter
å handle	to shop
ei handlevogn	a shopping cart
heldigvis	fortunately
hjem	home
hvilket	which (neuter)
i stedet	instead
en kasse	a cash register
en kjøledisk	a refrigerating counter
en kølapp	a queue number
ei lommebok	a wallet
en minibank	a cash dispenser
et minutt	a minute
opp	up
penger	money
et postkontor	a post office
et postkort	a postcard
en pris	a price
ei pære	a pear
rett ved siden av	right next to
å sende	to send
et senter	a centre
å slappe av	to relax
smør	butter
å ta ut penger	to withdraw money
en tikroning	ten-kroner-coin
å trekke	to draw, pull
å trenge	to need
et bad	a bath
å barbere seg	to shave
et brød	a loaf of bread
ei brødskive	a slice of bread
da	then
en dusj	a shower
en frokost	a breakfast
å glede seg til	to look forward to
gleder meg til	am looking forward to
å ha lyst på	to want
inne	in, inside
en italiener	an Italian (person)
en jus	a juice
kjempesulten	very hungry
et kjøleskap	a refrigerator
å kle på seg	to dress
å lage	to make
en lyst	a wish, desire, inclination
lyst på (å ha lyst på noe)	wanting something
mat	food
melk	milk
en nordmann	a Norwegian
en ost	a cheese
å pusse	to brush
salami	a salami (uncount. noun)
seg	himself, herself, itself, oneself, themselves
å sette seg	to sit down
ei skinke	a ham
ei skive	a slice
spennende	exciting
å stå opp	to get up
ei tann	a tooth
tenner	teeth
å treffe	to meet (casual)
å tørke	to dry
å tørke seg	to dry oneself
vet (å vite)	know (present tense)
å vite	to know
ei adresse	an address
av	off, of, by, from
en bagasje	luggage (uncount. noun)
å betale	to pay
å dra	to leave
gjerne	rather, would like
kan (å kunne)	can, be able to
å kjøre	to drive
klokka er...	the time is...
ei klokke	a clock, watch
å kunne	(the infinitive of) can, be able to
en mandag	a Monday
meg	me (Obj., refl.)
må (å måtte)	have to, must
en resepsjon	a reception
å se	to see
en sentralstasjon	a central station
å sjekke	to check
skal (å skulle)	will, shall, is going to
å skulle	will, shall
utvikler	developer (software)
en studentby	a student village
en taxi	a taxi
en taxisjåfør	a taxi driver
en vei	a road
vil (å ville)	wants to, will
å ville	to want to, will
et øyeblikk	a moment
åtte	eight
en buss	a bus
en bussjåfør	a bus driver
en busstur	a bus trip
flott	great, good
en flybuss	an airport express coach
for	for, because
å gå	to go, to walk
hei	hi
en hjelp	a help
å hjelpe	to help
inn	in, inside, into
en koffert	a suitcase
et kort	a card
å lande	to land
et nummer	a number
en pose	a bag (not handbag)
å rope	to call, cry, shout
selvfølgelig	of course
spør (å spørre)	ask (present tense)
å spørre	to ask
å stå	to stand
en tirsdag	a Tuesday
to	two, 2
tre	three, 3
utenfor	outside
å vente	to wait
ei veske	a handbag
at	that
å bety	to mean
en billett	a ticket
å bruke	to use
ei bussrute	a bus route
å bytte	to change, exchange
endelig	finally
å finne	to find
å få	to get, receive
halv	half
hvilken	which, what (masc/fem)
hvilke	which (flertall)
kvart	quarter
å ligge	to stand, lie
mye	much, a lot, plenty
ni	nine
når	when
en onsdag	a Wednesday
en overgang	a transition
et sentrum	a (town) centre
et skilt	a sign, signpost
en time	an hour, appointment, lesson
dem	them (obj.)
å drikke	to drink
ett	one (n.)
en ettermiddag	an afternoon
etterpå	afterwards
forbi	past, by
fram	ahead, on
først	at first (adv.)
høyre	right (direction)
en kafé	a café
en kaffe	a coffee
å kjøpe	to buy
et kjøpesenter	a shopping centre
en kopp	a cup
noen	some (m/f, plural), somebody, any, anybody
å parkere	to park
en parkeringsplass	a parking lot
rett	straight, directly
et rundstykke	a roll (food)
å spise	to eat
å stenge	to close
sulten	hungry
å takke	to thank
ti	ten
en torsdag	a Thursday
venstre	left
øst	east
aldri	never
andre	second, other
ei bokhylle	a book shelf
brun	brown
å bære	to carry
å dele	to share
ei dør	a door
en far	a father
fæl	awful
et gardin	a curtain
gjennom	through
hjemme	at home
høy	tall
et kjøkken	a kitchen
å legge	to lay, put
ei mor	a mother
å sette	to put, place, set
en sjokolade	a chocolate
et skap	a cupboard
et skrivebord	a desk
stille	quiet
stor	big
te	tea
å tenke	to think
under	under, below
ved siden av	beside
et vindu	a window
en bror	a brother
brødre	brothers
fin	fine (m./f.)
en gitar	a guitar
en gjest	a guest
et instrument	an instrument
kjempeflink	very good, clever
en kjøkkenbenk	a kitchen work table
å koke	to boil
en middag	a dinner
moderne	modern
musikk	music
et piano	a piano
å si	to say
å spille	to play
super	super
et søsken	a brother or sister, sibling
ei søster	a sister
så fint (...)!	what a nice (...)! (n.)
vann	water
en vannkoker	a kettle
bare	just, only
bare bra!	just fine!
bra	fine, good, well
en by	a city
en båt	a boat
en dag	a day
deg	you (singular)
den	it, that (masc/fem, far away)
det	it, that, the (neuter, far away)
det går bra!	I'm fine!
god	good
ha det bra!	goodbye!
ha det!	bye!
hallo	hello
her	here
å hilse	to greet with regards
hvordan	how
hyggelig	nice, pleasant
hyggelig å hilse på deg!	nice to meet you!
kanskje	perhaps, maybe
ledig	vacant
en morgen	a morning
å møte	to meet
nei	no
neste	next
nå	now
OK	okay, all right
seinere	later
å ses	to see one another
snart	soon
Spania	Spain
så	so
takk	thanks
en turist	a tourist
unnskyld	excuse me (my fault)
vi	we (subj.)
vær så god!	you're welcome! please! here you are!
å	to (infinitive marker)
ei avis	a newspaper
en bensinstasjon	a petrol station
en bil	a car
å bli	to become, will be, turn out
en brus	a (bottle of) soda pop
de	they, those (plural, faraway)
der	there
der borte	over there
en ekspeditør	a shop assistent
en	a, an, one
et	a, an (neuter)
god tur!	have a nice trip!
hvor langt	how far
et kart	a map
en kilometer	a kilometre
å koste	to cost
ei krone	a crown
langt	far (adv.; far [to go])
over	of, over
sammen	together
å stoppe	to stop
å ta	to take
tilbake	back
en tur	a trip
tusen	thousand
tysk	German
Tyskland	Germany
velkommen	welcome
en arkitektur	an architecture
engelsk	English
flink	good, clever
et fly	a plane
å gjøre	to do
ikke	not
Italia	Italy
italiensk	Italian
å jobbe	to work ("J")
litt	a little
norsk	Norwegian
også	too, also
en professor	a professor
på	on, at
Roma	Rome
spansk	Spanish
en student	a student
å studere	to study
å bo	to live(reside)
ei dame	a lady
du	you (sing., subj.)
ei	a/an, one (f.)
er (å være)	am, are, is
en familie	a family
fra	from
gammel	old
gift	married
å ha	to have
han	he, him
å hete	to be called
hun	she (subj.)
hva	what
hvor	where
i	in, at, on
ja	yes
ei jente	a girl
å komme	to come
med	with
men	but
Norge	Norway
og	and
å reise	to travel
seks	six
å snakke	to speak
til	to (prep.)
et tog	a train
å være	to be, exist
et år	a year
ei stue	a living room
et soverom	a bedroom
et toalett	a toilet
et bad	a bathroom
en kjeller	a basement
et loft	a loft
null	0
én	1 (m.)
ei	1 (f.)
ett	1 (n.)
to	2
tre	3
fire	4
fem	5
seks	6
sju	7
åtte	8
ni	9
ti	10
elleve	11
tolv	12
tretten	13
fjorten	14
femten	15
seksten	16
sytten	17
atten	18
nitten	19
tjue	20
tjueén	21
tjueto	22
tjuetre	23
tjuefire	24
tjuefem	25
tjueseks	26
tjuesju	27
tjueåtte	28
tjueni	29
tretti	30
et andebryst	a duck breast
en pannestekt andelever	a pan-fried duck liver
medium rå	medium rare
skjøkreps	crayfish
reker	shrimp
en krabbe	a crab
en arbeidsbenk	a workbench
